id,question,source_record,status,current_priority
D19,连续十帧同样的高置信度，真的等于十次独立证据吗？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
D20,判断芽叶等级和对准细茎，是否应使用不同范围的图像？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
E21,枝条摆动时应该一直追踪，还是等到适合接近的时刻？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
E22,夹爪将要挡住茶茎时，应继续接近、换角度还是退出补拍？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
E23,目标茎定位准确，但接近途中会不会夹到旁边叶片？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
E24,第一次对准失败后，怎样撤退和重找才不会追上另一根芽？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
E25,少自由度平台应该执行哪些目标，哪些应交给后续位置或人工？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
F26,同样的夹爪和动作，夹持位置偏几毫米或方向偏几度，会怎样改变断点？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
F27,轻微试探性弯曲，能否帮助选择后续断离动作？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
F28,茶芽相对夹爪移动时，如何区分滑移、正常弯曲与已经断离？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
F29,什么时候从夹稳切换到弯折/提拉，才能同时减少滑移和夹伤？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
F30,目标从画面消失，如何确认它被采下，而非仍挂在枝上或掉落？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
