id,canonical_key,title,identifier,primary_url,kind,evidence_level,verification_scope,supported_claim_and_limit,source_record,source_line,recorded_at,record_text
H011,10.1109/icra40945.2020.9197272,"Cuevas-Velasquez et al. *Real-time Stereo Visual Servoing for Rose Pruning with Robotic Arm*. ICRA, 2020, 7050–7056. DOI: 10.1109/ICRA40945.2020.9197272。作者全文；机构出版记录",10.1109/ICRA40945.2020.9197272,https://homepages.inf.ed.ac.uk/rbf/PAPERS/HCICRA20.pdf)；[机构出版记录](https://research.wur.nl/en/publications/real-time-stereo-visual-servoing-for-rose-pruning-with-robotic-ar/,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::C01,29,2026-09-05,"| C01 | Cuevas-Velasquez et al. *Real-time Stereo Visual Servoing for Rose Pruning with Robotic Arm*. ICRA, 2020, 7050–7056. DOI: 10.1109/ICRA40945.2020.9197272。[作者全文](https://homepages.inf.ed.ac.uk/rbf/PAPERS/HCICRA20.pdf)；[机构出版记录](https://research.wur.nl/en/publications/real-time-stereo-visual-servoing-for-rose-pruning-with-robotic-ar/) | F，会议论文 | 末端双目相机＋细枝剪切＋实时位置更新。正文相机为 752×480，近距使用约 3 cm 基线，刀具布局考虑切割动作与视野。已明显接近“低像素、近距离、局部看准”。其按高度剪枝与茶芽采摘等级、嫩梗损伤要求不同。 |"
H012,https://arxiv.org/html/2411.09929v1,"Kim, Silwal and Kantor. *Autonomous Robotic Pepper Harvesting: Imitation Learning in Unstructured Agricultural Environments*. arXiv:2411.09929，2024。作者公开全文",,https://arxiv.org/html/2411.09929v1,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::P01,30,2026-09-05,"| P01 | Kim, Silwal and Kantor. *Autonomous Robotic Pepper Harvesting: Imitation Learning in Unstructured Agricultural Environments*. arXiv:2411.09929，2024。[作者公开全文](https://arxiv.org/html/2411.09929v1) | F，按公开稿记录，未确认后续期刊版本 | 剪夹机构集成鱼眼相机，位置安排考虑采后果实和机构状态可见性。相机与刀具整合及可见性安排已有相邻研究；其模仿学习方法与用户计划不同。 |"
H013,https://patents.google.com/patent/CN116138036A/zh)；[B,《一种用于名优茶嫩芽采摘的二次定位方法》。CN116138036A，2023-05-23 公开；CN116138036B，2024-04-02 授权公告。A 文本；B 文本,,https://patents.google.com/patent/CN116138036A/zh)；[B,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::T01,31,2026-09-05,| T01 | 《一种用于名优茶嫩芽采摘的二次定位方法》。CN116138036A，2023-05-23 公开；CN116138036B，2024-04-02 授权公告。[A 文本](https://patents.google.com/patent/CN116138036A/zh)；[B 文本](https://patents.google.com/patent/CN116138036B/zh) | F；多次复定位条款主要由原始记录的检索索引核对 | 固定相机与末端相机分别执行初定位和二次定位，采摘点与角度进行坐标转换。B 文本检索索引还明确包含多次二次定位和误差门限。属于技术公开，不能当作期刊实验性能证据；这里仅作方法重复审查，不作法律状态或实施权利判断。 |
H019,10.3389/fpls.2026.1786144/full,Tea bud pose estimation and grading detection network based on improved YOLOv7,10.3389/fpls.2026.1786144/full,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2026.1786144/full)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R01,774,2026-09-05,"**R01｜[Tea bud pose estimation and grading detection network based on improved YOLOv7](https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2026.1786144/full)**

Frontiers in Plant Science, 2026。DOI：10.3389/fpls.2026.1786144。证据：F。

已知重叠与边界：同时输出一芽一叶、一芽二叶类别与结构关键点；标注时未标注遮挡超过60%的对象。该限制仅属于这篇论文，不能外推为整个领域未研究强遮挡。"
H020,10.3390/agriculture15020198,Instance Segmentation and 3D Pose Estimation of Tea Bud Leaves for Autonomous Harvesting Robots,10.3390/agriculture15020198,https://www.mdpi.com/2077-0472/15/2/198)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R02,780,2026-09-05,"**R02｜[Instance Segmentation and 3D Pose Estimation of Tea Bud Leaves for Autonomous Harvesting Robots](https://www.mdpi.com/2077-0472/15/2/198)**

Agriculture, 2025。DOI：10.3390/agriculture15020198。证据：S。

已知重叠与边界：RGB-D茶芽实例分割、适应尺度变化的姿态估计已有直接工作。本轮出版商正文访问受限，具体方法差异仍需全文复核。"
H021,10.3390/agriculture15020144,Plucking Point and Posture Determination of Tea Buds Based on Deep Learning,10.3390/agriculture15020144,https://www.mdpi.com/2077-0472/15/2/144)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R03,786,2026-09-05,"**R03｜[Plucking Point and Posture Determination of Tea Buds Based on Deep Learning](https://www.mdpi.com/2077-0472/15/2/144)**

Agriculture, 2025。DOI：10.3390/agriculture15020144。证据：S。

已知重叠与边界：题名与出版信息确认点、姿态联合研究；未据此认定其解决了芽叶跨实例归属问题。"
H022,10.1016/j.engappai.2026.115056,Exploiting anchor-free and graph reasoning framework for dense tea bud detection and picking point identification,10.1016/j.engappai.2026.115056,https://www.sciencedirect.com/science/article/abs/pii/S0952197626013394)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R04,792,2026-09-05,"**R04｜[Exploiting anchor-free and graph reasoning framework for dense tea bud detection and picking point identification](https://www.sciencedirect.com/science/article/abs/pii/S0952197626013394)**

Engineering Applications of Artificial Intelligence, 2026。DOI：10.1016/j.engappai.2026.115056。证据：S。

已知重叠与边界：图推理用于密集茶芽检测与采摘点识别已出现。图中节点/边的具体定义尚未核实，不能把题名扩大解释为完整植物拓扑重建。"
H023,10.3389/fpls.2026.1739203/full,TeaNeRF: an integrated 3D visual perception pipeline for tea bud harvesting,10.3389/fpls.2026.1739203/full,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2026.1739203/full)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R05,798,2026-09-05,"**R05｜[TeaNeRF: an integrated 3D visual perception pipeline for tea bud harvesting](https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2026.1739203/full)**

Frontiers in Plant Science, 2026。DOI：10.3389/fpls.2026.1739203。证据：F。

已知重叠与边界：多视角茶树重建、语义点云、计数与候选采摘点已有工作；作者将结果定位于感知层，实验条件有控制，不能直接当作动态茶园闭环采摘验证。"
H024,10.3390/s24216777,Vision-Based Localization Method for Picking Points in Tea-Harvesting Robots,10.3390/s24216777,https://pubmed.ncbi.nlm.nih.gov/39517674/)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R06,804,2026-09-05,"**R06｜[Vision-Based Localization Method for Picking Points in Tea-Harvesting Robots](https://pubmed.ncbi.nlm.nih.gov/39517674/)**

Sensors, 2024。DOI：10.3390/s24216777。证据：A（前轮）。

已知重叠与边界：远视野茶芽ROI、近视野茎分割与深度融合定位已经用于茶叶。摘要中的定位成功率不等于完整采摘成功率。"
H025,10.1002/rob.22559,Localization of Tea Shoots for Robotic Plucking Using Binocular Stereo Vision,10.1002/rob.22559,https://onlinelibrary.wiley.com/doi/full/10.1002/rob.22559)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R07,810,2026-09-05,"**R07｜[Localization of Tea Shoots for Robotic Plucking Using Binocular Stereo Vision](https://onlinelibrary.wiley.com/doi/full/10.1002/rob.22559)**

Journal of Field Robotics, 2025。DOI：10.1002/rob.22559。证据：A（前轮）。

已知重叠与边界：茶芽双目实例匹配、深度定位及采摘验证已有研究，不能将双目或近距毫米定位本身作为创新。"
H026,10.3390/agronomy14081800,YOLO Recognition Method for Tea Shoots Based on Polariser Filtering and LFAnet,10.3390/agronomy14081800,https://www.mdpi.com/2073-4395/14/8/1800)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R08,816,2026-09-05,"**R08｜[YOLO Recognition Method for Tea Shoots Based on Polariser Filtering and LFAnet](https://www.mdpi.com/2073-4395/14/8/1800)**

Agronomy, 2024。DOI：10.3390/agronomy14081800。证据：S。

已知重叠与边界：偏振成像参数与茶芽识别的结合已有论文；曝光/偏振硬件改良应比较既有成像方法。"
H027,10.3390/agronomy15030582,A Lightweight Tea Bud-Grading Detection Model for Embedded Applications,10.3390/agronomy15030582,https://www.mdpi.com/2073-4395/15/3/582)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R09,822,2026-09-05,"**R09｜[A Lightweight Tea Bud-Grading Detection Model for Embedded Applications](https://www.mdpi.com/2073-4395/15/3/582)**

Agronomy, 2025。DOI：10.3390/agronomy15030582。证据：S。

已知重叠与边界：轻量网络用于茶芽等级检测已有直接工作；本轮仅用其确认方向重叠，不复述具体性能。"
H028,10.1016/j.biosystemseng.2024.09.018,Semantics-aware next-best-view planning for efficient search and detection of task-relevant plant parts,10.1016/j.biosystemseng.2024.09.018,https://www.sciencedirect.com/science/article/pii/S1537511024002204)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R10,828,2026-09-05,"**R10｜[Semantics-aware next-best-view planning for efficient search and detection of task-relevant plant parts](https://www.sciencedirect.com/science/article/pii/S1537511024002204)**

Biosystems Engineering, 2024。DOI：10.1016/j.biosystemseng.2024.09.018。证据：A。

已知重叠与边界：作者稿摘要验证通过语义信息优先观察任务相关植物部位，并有真实温室测试。作者稿：https://arxiv.org/abs/2306.09801 。"
H029,https://www.sciencedirect.com/science/article/pii/S1537511024001740)**,Attention-driven next-best-view planning for efficient reconstruction of plants and targeted plant parts,,https://www.sciencedirect.com/science/article/pii/S1537511024001740)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R11,834,2026-09-05,"**R11｜[Attention-driven next-best-view planning for efficient reconstruction of plants and targeted plant parts](https://www.sciencedirect.com/science/article/pii/S1537511024001740)**

Biosystems Engineering, 2024。证据：A。

已知重叠与边界：针对植物特定部位的重建与视角选择已有工作。原始作者稿：https://arxiv.org/abs/2206.10274 。"
H030,10.1016/j.compag.2025.110266,Multiple object tracking with multi-view active vision to effectively find plant nodes in a cluttered tomato greenhouse,10.1016/j.compag.2025.110266,https://research.wur.nl/en/publications/multiple-object-tracking-with-multi-view-active-vision-to-effecti/)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R12,840,2026-09-05,"**R12｜[Multiple object tracking with multi-view active vision to effectively find plant nodes in a cluttered tomato greenhouse](https://research.wur.nl/en/publications/multiple-object-tracking-with-multi-view-active-vision-to-effecti/)**

Computers and Electronics in Agriculture, 2025。DOI：10.1016/j.compag.2025.110266。证据：A。

已知重叠与边界：真实番茄温室中，将多目标跟踪与主动视角规划结合，比较预设视角和聚类融合；跨视角身份维持并非空白。"
H031,10.1109/lra.2024.3357397,View Planning for Grape Harvesting Based on Active Vision Strategy Under Occlusion,10.1109/LRA.2024.3357397,https://ieeexplore.ieee.org/document/10412087/)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R13,846,2026-09-05,"**R13｜[View Planning for Grape Harvesting Based on Active Vision Strategy Under Occlusion](https://ieeexplore.ieee.org/document/10412087/)**

IEEE Robotics and Automation Letters, 2024。DOI：10.1109/LRA.2024.3357397。证据：S。

已知重叠与边界：视角规划寻找被遮挡果梗已有直接农业机器人研究；与茶茎观察形成重要近邻。"
H032,10.1016/j.compag.2025.110913,View planning for grape harvesting based on self-supervised deep reinforcement learning under occlusion,10.1016/j.compag.2025.110913,https://www.sciencedirect.com/science/article/abs/pii/S0168169925010191)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R14,852,2026-09-05,"**R14｜[View planning for grape harvesting based on self-supervised deep reinforcement learning under occlusion](https://www.sciencedirect.com/science/article/abs/pii/S0168169925010191)**

Computers and Electronics in Agriculture, 2025。DOI：10.1016/j.compag.2025.110913。证据：S。

已知重叠与边界：自监督强化学习用于遮挡下的葡萄采摘视角规划已有工作；仅替换学习算法标签不足以区分。"
H033,10.3390/s26010291,Occlusion Avoidance for Harvesting Robots: A Lightweight Active Perception Model,10.3390/s26010291,https://www.mdpi.com/1424-8220/26/1/291)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R15,858,2026-09-05,"**R15｜[Occlusion Avoidance for Harvesting Robots: A Lightweight Active Perception Model](https://www.mdpi.com/1424-8220/26/1/291)**

Sensors, 2026。DOI：10.3390/s26010291。证据：S。

已知重叠与边界：轻量检测与主动感知结合已出现。本轮原文访问受限，不将摘要中的实时性扩大为在用户开发板上的性能。"
H034,10.1109/tro.2014.2320795,Nonmyopic view planning for active object classification and pose estimation,10.1109/TRO.2014.2320795,https://publications.polymtl.ca/33721/)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R16,864,2026-09-05,"**R16｜[Nonmyopic view planning for active object classification and pose estimation](https://publications.polymtl.ca/33721/)**

IEEE Transactions on Robotics, 2014。DOI：10.1109/TRO.2014.2320795。证据：A（前轮）。

已知重叠与边界：主动分类/姿态估计的多步视角规划与停止决策为已知研究范式；本轮复核出版信息。"
H035,10.1109/access.2021.3086499,Closed-Loop Region of Interest Enabling High Spatial and Temporal Resolutions in Object Detection and Tracking via Wireless Camera,10.1109/ACCESS.2021.3086499,https://ieeexplore.ieee.org/iel7/6287639/9312710/09454528.pdf)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R17,870,2026-09-05,"**R17｜[Closed-Loop Region of Interest Enabling High Spatial and Temporal Resolutions in Object Detection and Tracking via Wireless Camera](https://ieeexplore.ieee.org/iel7/6287639/9312710/09454528.pdf)**

IEEE Access, 2021。DOI：10.1109/ACCESS.2021.3086499。证据：A（前轮）。

已知重叠与边界：检测跟踪反馈驱动ROI、提高空间和时间利用率已有研究；无线传输场景与板端闭环仍需区分。"
H036,10.1177/0278364911436082,Dynamic visual servoing from sequential regions of interest acquisition,10.1177/0278364911436082,https://journals.sagepub.com/doi/10.1177/0278364911436082)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R18,876,2026-09-05,"**R18｜[Dynamic visual servoing from sequential regions of interest acquisition](https://journals.sagepub.com/doi/10.1177/0278364911436082)**

The International Journal of Robotics Research, 2012。DOI：10.1177/0278364911436082。证据：A（前轮）。

已知重叠与边界：顺序区域采集与动态视觉伺服已有研究；本轮复核原始出版信息。"
H037,10.1007/s10846-025-02292-7.pdf,Event-Triggered Nonlinear Visual Predictive Control Strategy for Robots,10.1007/s10846-025-02292-7.pdf,https://link.springer.com/content/pdf/10.1007/s10846-025-02292-7.pdf)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R19,882,2026-09-05,"**R19｜[Event-Triggered Nonlinear Visual Predictive Control Strategy for Robots](https://link.springer.com/content/pdf/10.1007/s10846-025-02292-7.pdf)**

Journal of Intelligent & Robotic Systems, 2025。DOI：10.1007/s10846-025-02292-7。证据：A。

已知重叠与边界：已有事件触发、视场约束和视觉预测控制框架；具体模型或触发机制是否重复仍需逐式比较。"
H038,10.3390/s24144626,Discrete-Time Visual Servoing Control with Adaptive Image Feature Prediction Based on Manipulator Dynamics,10.3390/s24144626,https://scholar.hit.edu.cn/en/publications/discrete-time-visual-servoing-control-with-adaptive-image-feature/)**,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md::R20,888,2026-09-05,"**R20｜[Discrete-Time Visual Servoing Control with Adaptive Image Feature Prediction Based on Manipulator Dynamics](https://scholar.hit.edu.cn/en/publications/discrete-time-visual-servoing-control-with-adaptive-image-feature/)**

Sensors, 2024。DOI：10.3390/s24144626。证据：A。

已知重叠与边界：在离散视觉伺服中明确考虑采集与计算时延并预测图像特征；普通时延补偿不是新概念。"
